storm_id,storm_name,rows,year,landfall_date,wind_speed_at_landfall,strict_landfall_date,strict_wind_speed_at_landfall,is_hurricane,max_wind_speed,has_any_landfall,has_strict_landfall,has_liberal_landfall
AL111933,UNNAMED,33,1933,1933-09-04 00:00:00,110.0,1933-09-04 00:00:00,110.0,True,120,True,True,True
AL031934,UNNAMED,20,1934,1934-07-23 00:00:00,30.0,0,0.0,True,75,True,False,True
AL111934,UNNAMED,23,1934,1934-10-06 01:00:00,45.0,0,0.0,False,50,True,False,False
AL031935,UNNAMED,52,1935,1935-09-03 02:00:00,160.0,1935-09-03 02:00:00,160.0,True,160,True,True,True
AL071935,UNNAMED,39,1935,1935-11-04 18:00:00,85.0,1935-11-04 18:00:00,85.0,True,90,True,True,True
AL011936,UNNAMED,23,1936,1936-06-15 06:00:00,40.0,0,0.0,False,40,True,False,False
AL051936,UNNAMED,24,1936,1936-07-29 00:00:00,55.0,1936-07-31 12:00:00,90.0,True,90,True,True,True
AL091936,UNNAMED,14,1936,1936-08-21 22:00:00,50.0,0,0.0,False,50,True,False,False
AL011937,UNNAMED,21,1937,1937-07-29 18:00:00,55.0,0,0.0,False,60,True,False,False
AL031937,UNNAMED,39,1937,1937-08-30 14:00:00,60.0,0,0.0,False,60,True,False,False
AL071937,UNNAMED,23,1937,1937-09-20 16:00:00,35.0,0,0.0,False,50,True,False,False
AL021939,UNNAMED,50,1939,1939-08-11 18:00:00,65.0,1939-08-11 18:00:00,65.0,True,65,True,True,True
AL051941,UNNAMED,44,1941,1941-10-06 06:00:00,85.0,1941-10-06 06:00:00,85.0,True,105,True,True,True
AL061941,UNNAMED,30,1941,1941-10-20 14:00:00,40.0,0,0.0,False,45,True,False,False
AL131944,UNNAMED,51,1944,1944-10-19 06:00:00,90.0,1944-10-19 06:00:00,90.0,True,125,True,True,True
AL011945,UNNAMED,59,1945,1945-06-24 08:00:00,70.0,1945-06-24 08:00:00,70.0,True,85,True,True,True
AL071945,UNNAMED,13,1945,1945-09-04 18:00:00,35.0,0,0.0,False,35,True,False,False
AL091945,UNNAMED,39,1945,1945-09-15 18:00:00,115.0,1945-09-15 18:00:00,115.0,True,115,True,True,True
AL061946,UNNAMED,39,1946,1946-10-08 00:00:00,75.0,1946-10-08 00:00:00,75.0,True,85,True,True,True
AL071946,UNNAMED,13,1946,1946-11-01 18:00:00,40.0,0,0.0,False,40,True,False,False
AL041947,UNNAMED,73,1947,1947-09-17 16:30:00,115.0,1947-09-17 16:30:00,115.0,True,125,True,True,True
AL061947,UNNAMED,27,1947,1947-09-23 18:00:00,55.0,0,0.0,False,55,True,False,False
AL071947,UNNAMED,16,1947,1947-10-08 00:00:00,25.0,0,0.0,False,50,True,False,False
AL091947,UNNAMED,36,1947,1947-10-12 02:00:00,80.0,1947-10-12 02:00:00,80.0,True,90,True,True,True
AL021948,UNNAMED,18,1948,1948-07-09 07:00:00,35.0,0,0.0,False,35,True,False,False
AL081948,UNNAMED,36,1948,1948-09-21 12:00:00,105.0,1948-09-21 12:00:00,105.0,True,115,True,True,True
